"Field","count","percentage","Description"
"035",100000,100,"SYSTEM CONTROL NUMBER (R)"
"245",100000,100,"TITLE STATEMENT (NR)"
"538",100000,100,"SYSTEM DETAILS NOTE (R)"
"974",100000,100,NA
"CAT",100000,100,NA
"CID",100000,100,NA
"DAT",100000,100,NA
"FMT",100000,100,NA
"HOL",100000,100,NA
"260",99681,99.681,"PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)"
"300",98971,98.971,"PHYSICAL DESCRIPTION (R)"
"040",95834,95.834,"CATALOGING SOURCE (NR)"
"100",73913,73.913,"MAIN ENTRY--PERSONAL NAME (NR)"
"650",64913,64.913,"SUBJECT ADDED ENTRY--TOPICAL TERM (R)"
"010",51468,51.468,"LIBRARY OF CONGRESS CONTROL NUMBER (NR)"
"050",47174,47.174,"LIBRARY OF CONGRESS CALL NUMBER (R)"
"500",38911,38.911,"GENERAL NOTE (R)"
"504",36012,36.012,"BIBLIOGRAPHY, ETC. NOTE (R)"
"020",34879,34.879,"INTERNATIONAL STANDARD BOOK NUMBER (R)"
"490",28972,28.972,"SERIES STATEMENT (R)"
"700",27899,27.899,"ADDED ENTRY--PERSONAL NAME (R)"
"043",27784,27.784,"GEOGRAPHIC AREA CODE (NR)"
"090",27604,27.604,"LOCAL CALL NUMBER (BK AM CF MP MU VM SE) [OBSOLETE]"
"090",27604,27.604,"SHELF LOCATION (AM)[OBSOLETE]"
"082",20216,20.216,"DEWEY DECIMAL CLASSIFICATION NUMBER (R)"
"651",19915,19.915,"SUBJECT ADDED ENTRY--GEOGRAPHIC NAME (R)"
"250",18072,18.072,"EDITION STATEMENT (R)"
"710",14503,14.503,"ADDED ENTRY--CORPORATE NAME (R)"
"600",14061,14.061,"SUBJECT ADDED ENTRY--PERSONAL NAME (R)"
"049",8733,8.733,NA
"880",8355,8.355,"ALTERNATE GRAPHIC REPRESENTATION (R)"
"042",8061,8.061,"AUTHENTICATION CODE (NR)"
"041",7361,7.361,"LANGUAGE CODE (R)"
"110",7092,7.092,"MAIN ENTRY--CORPORATE NAME (NR)"
"246",6558,6.558,"VARYING FORM OF TITLE (R)"
"610",5859,5.859,"SUBJECT ADDED ENTRY--CORPORATE NAME (R)"
"740",5814,5.814,"ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R)"
"505",5075,5.075,"FORMATTED CONTENTS NOTE (R)"
"015",4986,4.986,"NATIONAL BIBLIOGRAPHY NUMBER (R)"
"COM",4369,4.369,NA
"099",4350,4.35,NA
"240",4179,4.179,"UNIFORM TITLE (NR)"
"502",3330,3.33,"DISSERTATION NOTE (R)"
"362",3309,3.309,"DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION (R)"
"086",2796,2.796,"GOVERNMENT DOCUMENT CLASSIFICATION NUMBER (R)"
"546",2750,2.75,"LANGUAGE NOTE (R)"
"066",2697,2.697,"CHARACTER SETS PRESENT (NR)"
"310",1905,1.905,"CURRENT PUBLICATION FREQUENCY (NR)"
